Unnamed: 0,tissue,cell_type,mass,groups,for_final_table,extrapolate,density,err,mean_volume_fl,mean_volume_err,child_10y,tot_child_10y,tot_mass_child_10y,woman,tot_woman,tot_mass_woman,man,tot_man,tot_mass_man,mass_err
0,Adipose tissue,B cells,0.00275406289041236,adipose tissue,Others,human,890.487763498374,2.60303801668483,199.33984553515,1.04332784880751,7500.0,6678658.22623781,0.00142451528814433,19000.0,16919267.5064691,0.00360877206329896,14500.0,12912072.5707264,0.00275406289041236,2.60548552029904
1,Adrenal glands,B cells,0.00141653895683216,internal epithelial,Others,extrapolation,474375.87244939,2.32176441408403,199.33984553515,1.04332784880751,7.0,3320631.10714573,0.000708269478416081,13.0,6166886.34184208,0.00131535760277272,14.0,6641262.21429147,0.00141653895683216,2.32424361822654
2,Blood,B cells,0.287413075573125,blood,Blood,human,244999.91713038,1.00005739021599,199.33984553515,1.04332784880751,2616.0,640919783.213074,0.136704110127144,4251.0,1041494647.72125,0.22214417895661,5500.0,1347499544.21709,0.287413075573125,1.04332788931331
3,Brain,B cells,0.00307660537258046,CNS,Others,human,9947.77369439828,1.13101445530638,199.33984553515,1.04332784880751,1300.0,12932105.8027178,0.00275833585127904,1300.0,12932105.8027178,0.00275833585127904,1450.0,14424271.8568775,0.00307660537258046,1.13907510685246
4,Breasts,B cells,0.002529533851486,internal epithelial,Others,extrapolation,474375.87244939,2.32176441408403,199.33984553515,1.04332784880751,15.0,7115638.08674086,0.0015177203108916,500.0,237187936.224695,0.05059067702972,25.0,11859396.8112348,0.002529533851486,2.32424361822654
5,Bronchial tree,B cells,0.0115881301506187,barrier epithelial,Lungs,extrapolation,1810982.33673484,3.8592890985105,199.33984553515,1.04332784880751,13.15,23814417.7280632,0.00507946371602117,24.66,44658824.4238812,0.00952544298380853,30.0,54329470.1020453,0.0115881301506187,3.86185993284275
6,Cartilage ,B cells,0.00264368263002773,connective,Others,extrapolation,11267.7898175692,1.95906638838063,199.33984553515,1.04332784880751,820.0,9239587.65040672,0.0019707452332934,900.0,10141010.8358123,0.00216301306093178,1100.0,12394568.7993261,0.00264368263002773,1.96168610776242
7,Colon,B cells,0.265395309999857,barrier epithelial,GI,human,3362897.45614803,2.06548238839946,199.33984553515,1.04332784880751,210.0,706208465.791086,0.150629770540459,360.0,1210643084.21329,0.258222463783644,370.0,1244272058.77477,0.265395309999857,2.0680432274432
8,Connective tissue,B cells,0.0038453565527676,connective,Others,extrapolation,11267.7898175692,1.95906638838063,199.33984553515,1.04332784880751,701.37,7902889.74434849,0.00168563607838413,1315.07,14817932.3553907,0.00316057065115506,1600.0,18028463.7081107,0.0038453565527676,1.96168610776242
9,Epididymes,B cells,0.00172008301901048,internal epithelial,Others,extrapolation,474375.87244939,2.32176441408403,199.33984553515,1.04332784880751,1.6,759001.395919025,0.000161890166495104,0.0,0.0,0.0,17.0,8064389.83163964,0.00172008301901048,2.32424361822654
10,Esophagus,B cells,0.0154508402008249,barrier epithelial,GI,extrapolation,1810982.33673484,3.8592890985105,199.33984553515,1.04332784880751,18.0,32597682.0612272,0.00695287809037119,35.0,63384381.7857195,0.0135194851757217,40.0,72439293.4693937,0.0154508402008249,3.86185993284275
