tissue,mass,groups,child_10y,tot_child_10y,tot_mass_child_10y,woman,tot_woman,tot_mass_woman,man,tot_man,tot_mass_man
Adipose tissue,0.26712528461448,adipose tissue,7500.0,647784219.357276,0.138168250662662,19000.0,1641053355.7051,0.350026235012078,14500.0,1252382824.09073,0.26712528461448
Adrenal glands,0.007673701732213,internal epithelial,7.0,17988585.8811321,0.0038368508661065,13.0,33407373.7792453,0.007125580179912,14.0,35977171.7622642,0.007673701732213
Blood,1.68107346904063,blood,2616.0,3748727301.96525,0.799579671820054,4251.0,6091681865.69353,1.29931696670759,5500.0,7881498532.4193,1.68107346904063
Brain,0.030598819330971,CNS,1300.0,128618110.256522,0.0274334242277671,1300.0,128618110.256522,0.0274334242277671,1450.0,143458661.439967,0.030598819330971
Breasts,0.0137030388075232,internal epithelial,15.0,38546969.7452831,0.0082218232845139,500.0,1284898991.50943,0.274060776150464,25.0,64244949.5754718,0.0137030388075232
Bronchial tree,0.0656823384961262,barrier epithelial,13.15,134981798.268747,0.0287907583741353,24.66,253129364.662153,0.0539908822438157,30.0,307943266.012351,0.0656823384961262
Cartilage ,0.03039435791129,connective,820.0,106227325.023598,0.0226576122611434,900.0,116590966.489315,0.0248681110183282,1100.0,142500070.153607,0.03039435791129
Colon,0.524643244753628,barrier epithelial,210.0,1396058961.87584,0.297770490265572,360.0,2393243934.6443,0.510463697598124,370.0,2459722932.82886,0.524643244753628
Connective tissue,0.0442099751436945,connective,701.37,90859340.1851234,0.0193797189165831,1315.07,170361424.779004,0.0363370075076365,1600.0,207272829.314338,0.0442099751436945
Epididymes,0.0093180663891157,internal epithelial,1.6,4111676.77283019,0.0008769944836814,0.0,0.0,0.0,17.0,43686565.7113208,0.0093180663891157
Esophagus,0.0875764513281682,barrier epithelial,18.0,184765959.607411,0.0394094030976757,35.0,359267143.681076,0.0766293949121472,40.0,410591021.349801,0.0875764513281682
Eyes ,0.0003165395103203,CNS,12.0,1187244.09467559,0.0002532316082563,15.0,1484055.11834448,0.0003165395103203,15.0,1484055.11834448,0.0003165395103203
Fallopian tubes,0.0,internal epithelial,0.0,0.0,0.0,2.1,5396575.76433963,0.0011510552598319,0.0,0.0,0.0
Gallbladder,0.0054812155230092,internal epithelial,4.4,11307111.125283,0.002411734830124,8.0,20558383.864151,0.0043849724184074,10.0,25697979.8301887,0.0054812155230092
Heart,0.0038843689048296,striated muscle,140.0,7726034.97042913,0.0016479140808368,250.0,13796491.0186234,0.00294270371578,330.0,18211368.1445829,0.0038843689048296
Kidneys,0.0988836066770949,internal epithelial,180.0,269188941.445256,0.0574162877479906,275.0,411260882.763585,0.0877193285038745,310.0,463603176.933496,0.0988836066770949
Larynx,0.0613035159297178,barrier epithelial,12.0,123177306.40494,0.0262729353984505,19.0,195030735.141156,0.0415988143808799,28.0,287413714.944861,0.0613035159297178
Liver,1.69536673848726,internal epithelial,830.0,3665146601.9666,0.781752440524681,1400.0,6182174991.26896,1.31861857437898,1800.0,7948510703.06009,1.69536673848726
Lungs,2.56161120134892,barrier epithelial,487.0,4998945684.93383,1.06624329492045,925.0,9494917368.71416,2.02520543696389,1170.0,12009787374.4817,2.56161120134892
Lymph nodes,46.4395959179535,lymphatic system,99.0,95799493643.9302,20.4334222038995,185.0,179019255799.264,38.1836677547617,225.0,217726121918.023,46.4395959179535
Lymph vessels,0.0139537734047286,connective,221.0,28629559.549043,0.0061065028167228,415.0,53761390.1034065,0.0114669623028958,505.0,65420486.752338,0.0139537734047286
Ovaries,0.0,internal epithelial,0.0,0.0,0.0,11.0,28267777.8132076,0.0060293370753102,0.0,0.0,0.0
Pancreas,0.07673701732213,internal epithelial,60.0,154187878.981132,0.0328872931380557,120.0,308375757.962264,0.0657745862761115,140.0,359771717.622642,0.07673701732213
Parathyroid glands,9.86618794141672e-05,internal epithelial,0.08,205583.83864151,4.38497241840743e-05,0.15,385469.69745283,8.22182328451393e-05,0.18,462563.636943397,9.86618794141672e-05
Periarticular tissue,0.0248681110183282,connective,394.52,51108297.8881829,0.0109010746210565,739.73,95828706.2679346,0.0204396530706532,900.0,116590966.489315,0.0248681110183282
