Identificador	Longitud	E-value	% Identidad
fibroblast	155	1.58937e-107	99.35%
RecName:	152	2.82925e-107	99.35%
fibroblast	155	8.06639e-107	98.69%
PREDICTED:	155	2.14239e-106	98.04%
FGF1	154	2.8141e-106	98.04%
fibroblast	155	2.81878e-106	98.04%
fibroblast	189	7.44753e-106	97.39%
fibroblast	155	7.48643e-106	97.39%
fibroblast	189	8.77958e-106	97.39%
fibroblast	189	8.97433e-106	97.39%
fibroblast	155	1.07539e-105	97.39%
fibroblast	155	1.20014e-105	97.39%
fibroblast	155	1.21338e-105	97.39%
fibroblast	182	1.43573e-105	97.39%
acidic	156	1.4487e-105	97.39%
fibroblast	155	1.52789e-105	97.39%
fibroblast	156	1.63458e-105	97.39%
fibroblast	155	1.68651e-105	96.73%
PREDICTED:	155	1.68651e-105	97.39%
fibroblast	155	1.68651e-105	97.39%
acidic	154	1.74011e-105	97.39%
fibroblast	155	1.78164e-105	97.39%
PREDICTED:	189	1.87152e-105	97.39%
fibroblast	155	1.92391e-105	96.73%
fibroblast	154	1.98506e-105	97.39%
fibroblast	155	2.31853e-105	97.39%
PREDICTED:	155	2.61603e-105	97.39%
fibroblast	241	2.65863e-105	97.39%
fibroblast	155	2.82493e-105	97.39%
fibroblast	155	2.88762e-105	97.39%
fibroblast	155	2.95171e-105	96.73%
PREDICTED:	155	3.2941e-105	96.73%
fibroblast	155	3.40436e-105	96.73%
fibroblast	155	3.51831e-105	96.73%
fibroblast	155	4.47913e-105	96.73%
PREDICTED:	155	4.57854e-105	96.73%
fibroblast	155	4.68015e-105	97.39%
PREDICTED:	155	5.51765e-105	96.73%
fibroblast	155	6.09047e-105	97.39%
fibroblast	155	6.15768e-105	96.73%
hypothetical	235	6.33185e-105	97.39%
fibroblast	155	6.3638e-105	96.73%
fibroblast	155	6.64938e-105	96.73%
Fibroblast	155	6.87196e-105	97.39%
fibroblast	155	9.4472e-105	96.73%
fibroblast	155	9.55145e-105	96.73%
LOW	214	9.80744e-105	97.39%
LOW	214	1.0944e-104	97.39%
fibroblast	214	1.10646e-104	97.39%
fibroblast	155	1.13849e-104	96.73%
